id,slug,nome,nome_completo,fundacao,fundadores,estado,cidade,bairro,grupo,cores,cores_hex,simbolo,titulos,anos_titulos,logo_original_url
uniao-da-ilha,uniao-da-ilha,União da Ilha do Governador,Grêmio Recreativo Escola de Samba União da Ilha do Governador,1953-03-07,Maurício Gazelle; Quincas; Orphylo,RJ,Rio de Janeiro,Cacuia,Acesso,Azul; Branco; Vermelho,#00008B; #FFFFFF; #FF0000,Lira e Cavalo-marinho,0,,assets/logos/original/uniao-da-ilha.png
sao-clemente,sao-clemente,São Clemente,Grêmio Recreativo Escola de Samba São Clemente,1961-10-25,Ivo da Rocha Gomes; João Marinho; Aílton Teixeira,RJ,Rio de Janeiro,Cidade Nova,Acesso,Preto; Amarelo,#000; #FFFF00,"Pandeiro, Enseada de Botafogo e o Pão de Açúcar",0,,assets/logos/original/sao-clemente.png
inocentes-de-belford-roxo,inocentes-de-belford-roxo,Inocentes de Belford Roxo,Grêmio Recreativo Escola de Samba Inocentes de Belford Roxo,1993-07-11,,RJ,Belford Roxo,Parque São Vicente,Acesso,Azul; Branco; Vermelho,#0000FF; #FFFFFF; #FF0000,Pomba branca e dois corações,0,,assets/logos/original/inocentes-de-belford-roxo.png
academicos-de-niteroi,academicos-de-niteroi,Acadêmicos de Niterói,Grêmio Recreativo Escola de Samba Acadêmicos de Niterói,2018-03-26,,RJ,Niterói,Centro de Niterói,Acesso,Azul; Branco,#0000CF; #FFF,Lira,0,,assets/logos/original/academicos-de-niteroi.png
unidos-de-bangu,unidos-de-bangu,Unidos de Bangu,Grêmio Recreativo Escola de Samba Unidos de Bangu,1937-11-15,,RJ,Rio de Janeiro,Bangu,Acesso,Vermelho; Branco,#FF0000; #FFFFFF,Pandeiro,0,,assets/logos/original/unidos-de-bangu.png
uniao-de-marica,uniao-de-marica,União de Maricá,Grêmio Recreativo Escola de Samba União de Maricá,2015-05-26,,RJ,Maricá,Flamengo (Maricá),Acesso,Vermelho; Ouro; Branco,#FF0000; #FFD700; #FFFFFF,Coroa,0,,assets/logos/original/uniao-de-marica.png
academicos-de-vigario-geral,academicos-de-vigario-geral,Acadêmicos de Vigário Geral,Grêmio Recreativo Escola de Samba Acadêmicos de Vigário Geral,1991-03-13,,RJ,Rio de Janeiro,Vigário Geral,Acesso,Azul; Vermelho; Branco,#0000FF; #FF0000; #FFFFFF,"Coração, Pomba e Aperto de mãos",0,,assets/logos/original/academicos-de-vigario-geral.png
vai-vai,vai-vai,Vai-Vai,O Grêmio Recreativo Cultural e Social Escola de Samba Vai-Vai,1930-01-01,Grupo de sambistas do Bixiga,SP,São Paulo,Bixiga,Especial,Preto; Branco,#000000; #FFFFFF,Coroa com Ramo de café abaixo,15,1978; 1981; 1982; 1986; 1987; 1988; 1993; 1996; 1998; 1999; 2000; 2001; 2008; 2011; 2015,assets/logos/original/vai-vai.png
mocidade-alegre,mocidade-alegre,Mocidade Alegre,O Grêmio Recreativo Cultural Escola de Samba Mocidade Alegre,1967-09-24,,SP,São Paulo,Bairro do Limão,Especial,Vermelho; Verde; Branco,#FF0000; #008000; #FFFFFF,"Casal de jovens (Mocidade) sambistas felizes (Alegre), sendo ele um batuqueiro e ela uma cabrocha",13,1971; 1972; 1973; 1980; 2004; 2007; 2009; 2012; 2013; 2014; 2023; 2024; 2026,assets/logos/original/mocidade-alegre.png
gavioes-da-fiel,gavioes-da-fiel,Gaviões da Fiel,Grêmio Recreativo Cultural e Escola de Samba Gaviões da Fiel Torcida,1969-07-01,,SP,São Paulo,Bom Retiro,Especial,Preto; Branco,#000000; #FFFFFF,Gavião,4,1995; 1999; 2002; 2003,assets/logos/original/gavioes-da-fiel.png
dragoes-da-real,dragoes-da-real,Dragões da Real,O Grêmio Recreativo Cultural Escola de Samba Dragões da Real,2000-03-17,membros da torcida organizada do São Paulo Futebol Clube,SP,São Paulo,Vila Anastácio,Especial,Vermelho; Branco; Preto,#FF0000; #FFFFFF; #000000,Dragão,0,,assets/logos/original/dragoes-da-real.png
imperio-de-casa-verde,imperio-de-casa-verde,Império de Casa Verde,O Grêmio Recreativo Cultural Social Escola de Samba Império de Casa Verde,1994-02-27,Dissidentes do Unidos do Peruche,SP,São Paulo,Casa Verde,Especial,Azul; Branco,#0099FF; #FFFFFF,Tigre e coroa,3,2005; 2006; 2016,assets/logos/original/imperio-de-casa-verde.png
academicos-do-tatuape,academicos-do-tatuape,Acadêmicos do Tatuapé,O Grêmio Recreativo Escola de Samba Acadêmicos do Tatuapé,1952-10-26,,SP,São Paulo,Tatuapé,Especial,Azul; Branco,#0E529A; #FFF,Agogô <small>(oficial)</small> Tatu <small>(Mascote)</small>,2,2017; 2018,assets/logos/original/academicos-do-tatuape.png
mancha-verde,mancha-verde,Mancha Verde,O Grêmio Recreativo e Cultural Escola de Samba Mancha Verde,1995-10-18,,SP,São Paulo,Barra Funda,Especial,Verde; Vermelho; Branco,#08381B; #FF0000; #FFFFFF,Manchão,2,2019; 2022,assets/logos/original/mancha-verde.png
barroca-zona-sul,barroca-zona-sul,Barroca Zona Sul,A Sociedade Recreativa Cultural Social Esportiva Beneficente Faculdade do Samba Barroca Zona Sul,1974-08-07,Sebastião Eduardo do Amaral (Pé Rachado); sambistas da Vila Mariana,SP,São Paulo,Jabaquara,Especial,Verde; Rosa,#006400; #FF1493,Crioulinho,0,,assets/logos/original/barroca-zona-sul.png
aguia-de-ouro,aguia-de-ouro,Águia de Ouro,O Grêmio Recreativo Cultural Social Escola de Samba Águia de Ouro,1976-05-09,,SP,São Paulo,Pompéia,Especial,Azul; Branco; Dourado,#0099FF; #FFFFFF; #FFD700,Águia Dourada carregando um Surdo nas patas,1,2020,assets/logos/original/aguia-de-ouro.png
academicos-do-tucuruvi,academicos-do-tucuruvi,Acadêmicos do Tucuruvi,O Grêmio Recreativo Cultural Social Escola de Samba Acadêmicos do Tucuruvi,1976-02-01,Grupo de moradores do bairro do Tucuruvi,SP,São Paulo,Tucuruvi,Especial,Azul; Amarelo; Vermelho; Branco,#0000FF; #FFFF00; #FF0000; #FFFFFF,"Diamante (na bandeira) Gafanhoto (mascote)<Ref name=""SASP - História""/>",0,,assets/logos/original/academicos-do-tucuruvi.png
rosas-de-ouro,rosas-de-ouro,Rosas de Ouro,A Sociedade Rosas de Ouro,1971-10-18,José Luciano Tomás da Silva; Jorge Augusto de Andrade; João Roque (Cajé); José Benedito da Silva (Zelão); Hernane Basílio; Ronaldo Gomes; Eduardo Basílio,SP,São Paulo,Freguesia do Ó,Especial,Rosa; Azul; Branco,#F9F; #1E90FF; #FFF,Três Rosas Douradas,8,1983; 1984; 1990; 1991; 1992; 1994; 2010; 2025,assets/logos/original/rosas-de-ouro.png
camisa-verde-e-branco,camisa-verde-e-branco,Camisa Verde e Branco,A Associação Cultural e Social Escola de Samba Mocidade Camisa Verde e Branco,1953-09-04,,SP,São Paulo,Barra Funda,Especial,Verde; Branco,#048454; #FFF,Trevo,9,1974; 1975; 1976; 1977; 1979; 1989; 1990; 1991; 1993,assets/logos/original/camisa-verde-e-branco.png
tom-maior,tom-maior,Tom Maior,O Grêmio Recreativo Escola de Samba Tom Maior,1973-02-14,,SP,São Paulo,Sumaré,Acesso,Vermelho; Amarelo; Branco,#FF0000; #FFFF00; #FFFFFF,"Pauta Musical envolvida por uma Rosa dos Ventos, estilizando os 4 cantos da cidade cantando em Tom Maior",0,,assets/logos/original/tom-maior.png
estrela-do-terceiro-milenio,estrela-do-terceiro-milenio,Estrela do Terceiro Milênio,O Grêmio Recreativo Cultural Escola de Samba Estrela do Terceiro Milênio,1998-05-05,,SP,São Paulo,Grajaú,Especial,Azul; Vermelho; Branco,#0000FF; #FF0000; #FFFFFF,Coruja,0,,assets/logos/original/estrela-do-terceiro-milenio.png
nene-de-vila-matilde,nene-de-vila-matilde,Nenê de Vila Matilde,O Grêmio Recreativo Cultural Escola de Samba Nenê de Vila Matilde,1949-01-01,Alberto Alves da Silva,SP,São Paulo,Vila Matilde,Acesso,Azul; Branco,#0000FF; #FFFFFF,Águia carregando um pandeiro nas garras,11,1956; 1958; 1959; 1960; 1962; 1965; 1968; 1969; 1970; 1985; 2001,assets/logos/original/nene-de-vila-matilde.png
colorado-do-bras,colorado-do-bras,Colorado do Brás,O Grêmio Recreativo Escola de Samba Colorado do Brás,1975-10-01,,SP,São Paulo,Brás,Especial,Vermelho; Branco,#FF0000; #FFF,Pandeiro com um desenho de uma bola de futebol dentro,0,,assets/logos/original/colorado-do-bras.png
perola-negra,perola-negra,Pérola Negra,O Grêmio Recreativo Social Cultural Escola de Samba Pérola Negra,1973-08-07,,SP,São Paulo,Vila Madalena,Acesso,Azul; Vermelho; Preto; Branco,#2B54A4; #FF0000; #000000; #FFF,Pérola,0,,assets/logos/original/perola-negra.png
unidos-do-peruche,unidos-do-peruche,Unidos do Peruche,O Grêmio Recreativo Cultural Social Escola de Samba Unidos do Peruche,1956-01-04,,SP,São Paulo,Parque Peruche (Dist. Casa Verde),Acesso,Verde; Amarelo; Azul; Branco,#008000; #FFFF00; #0000FF; #FFFFFF,Cruzeiro do Sul e Peruchinho,5,1957; 1962; 1965; 1966; 1967,assets/logos/original/unidos-do-peruche.png
x-9-paulistana,x-9-paulistana,X-9 Paulistana,O Grêmio Recreativo Cultural Escola de Samba X-9 Paulistana,1975-02-12,,SP,São Paulo,Parada Inglesa,Acesso,Verde; Vermelho; Branco,#008000; #FF0000; #FFFFFF,"Letra ""X"" e o número 9",2,1997; 2000,assets/logos/original/x-9-paulistana.png
